# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar  9 15:43:57 2021
#
# User preference: *
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_massj not null)
# CONSTRAINT:  order by pl_controv_flag desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_locale:    Discovery Locale
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73653900,0.00000700,-0.00000700,0,0.170,0.007,-0.007,0,8.08000,0.31000,-0.31000,0,0.02542,0.00098,-0.00098,0,,,,,,5250.00,123.30,-171.85,0,0.90,0.14,-0.09,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Ground,Multiple Observatories,0,262.00000000,0.51000000,-0.51000000,0,,,,,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,,,,,,,,,,0.95,,,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Ground,Multiple Observatories,0,260.91000000,0.36000000,-0.36000000,0,,,,,47.00510,6.96020,-2.95570,0,0.14790,0.02190,-0.00930,0,,,,,,5250.00,123.30,-171.85,0,0.90,0.14,-0.09,0,,,,,12.5855000,0.0124000,-0.0123000,5.7297300,0.0008523,-0.0008523
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Ground,Lick Observatory,0,116.68840000,0.00440000,-0.00440000,0,,,,,2380.45000,193.87000,-193.87000,0,7.49000,0.61000,-0.61000,0,,,,,,5545.00,,,0,1.11,,,0,8.000,2.000,-2.000,0,17.9011000,0.0560000,-0.0557000,4.7617800,0.0044158,-0.0044158
BD+20 594 b,BD+20 594,1,1,Transit,2016,Space,K2,0,41.68550000,0.00300000,-0.00310000,0,0.199,0.012,-0.010,0,16.30000,6.00000,-6.10000,0,0.05129,0.01888,-0.01919,0,546,19,-18,0,G,5766.00,99.00,-99.00,0,0.96,0.03,-0.03,0,3.340,1.950,-1.490,0,179.4610000,1.2570000,-1.2400000,10.8644000,0.0002490,-0.0002490
BD+20 594 b,BD+20 594,1,1,Transit,2016,Space,K2,0,41.68550000,0.00300000,-0.00300000,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,,,,,,5766.00,99.00,-99.00,0,1.67,0.40,-0.40,0,,,,,179.4610000,1.2570000,-1.2400000,10.8644000,0.0002490,-0.0002490
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,Ground,W. M. Keck Observatory,0,10037.50000000,2737.50000000,-2737.50000000,0,,,,,3337.10000,1430.20000,-1430.20000,0,10.50000,4.50000,-4.50000,0,370,40,-40,0,,580.50,24.50,-24.50,0,0.02,0.01,-0.01,0,,,,,,,,,,
CI Tau b,CI Tau,1,1,Radial Velocity,2019,Ground,Multiple Observatories,0,8.98910000,0.02020000,-0.02020000,0,,,,,3686.82800,921.70700,-858.14100,0,11.60000,2.90000,-2.70000,0,,,,,K7,,,,,0.90,0.02,-0.02,0,0.003,0.001,-0.001,0,157.9980000,1.1980000,-1.1800000,12.1454000,0.0118660,-0.0118660
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.50895570,,,0,1.480,0.060,-0.060,0,359.14790,22.24810,-22.24810,0,1.13000,0.07000,-0.07000,0,,,,,,5950.00,50.00,-50.00,0,1.03,0.06,-0.06,0,,,,,787.9090000,23.4910000,-23.4910000,13.4570000,0.0004770,-0.0004770
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.50896820,0.00000050,-0.00000050,0,1.715,0.030,-0.030,0,390.93090,31.78300,-31.78300,0,1.23000,0.10000,-0.10000,0,,,,,,6298.00,66.00,-66.00,0,1.22,0.03,-0.03,0,1.600,0.500,-0.500,0,787.9090000,23.4910000,-23.4910000,13.4570000,0.0004770,-0.0004770
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.50895570,0.00000640,-0.00000640,0,1.490,0.080,-0.080,0,327.35000,38.14000,-38.14000,0,1.03000,0.12000,-0.12000,0,1898,50,-50,0,G0 V,5950.00,150.00,-150.00,0,0.95,0.15,-0.15,0,,,,,787.9090000,23.4910000,-23.4910000,13.4570000,0.0004770,-0.0004770
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.50897655,0.00000010,-0.00000010,0,1.420,0.240,-0.240,0,340.07810,54.03110,-54.03110,0,1.07000,0.17000,-0.17000,0,1834,46,-46,0,,5950.00,,,0,,,,,,,,,787.9090000,23.4910000,-23.4910000,13.4570000,0.0004770,-0.0004770
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.50896860,0.00000060,-0.00000060,0,1.551,0.065,-0.065,0,327.36490,31.78300,-31.78300,0,1.03000,0.10000,-0.10000,0,1915,49,-49,0,,5950.00,150.00,-150.00,0,0.95,0.11,-0.11,0,7.800,4.100,-3.900,0,787.9090000,23.4910000,-23.4910000,13.4570000,0.0004770,-0.0004770
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,Space,CoRoT,0,13.24060000,0.00020000,-0.00020000,0,0.970,0.070,-0.070,0,867.67590,44.49620,-44.49620,0,2.73000,0.14000,-0.14000,0,,,,,,5075.00,75.00,-75.00,0,0.89,0.05,-0.05,0,3.000,0.000,-3.000,0,338.3860000,3.9865000,-3.9865000,14.6645000,0.0003290,-0.0003290
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,Space,CoRoT,0,13.24060000,0.00020000,-0.00020000,0,0.941,0.085,-0.085,0,883.56740,47.67450,-47.67450,0,2.78000,0.15000,-0.15000,0,647,24,-24,0,,5075.00,75.00,-75.00,0,0.90,0.04,-0.04,0,0.100,2.000,-0.200,0,338.3860000,3.9865000,-3.9865000,14.6645000,0.0003290,-0.0003290
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,Space,CoRoT,0,13.24060000,0.00020000,-0.00020000,0,0.970,0.070,-0.070,0,874.00000,50.85000,-50.85000,0,2.75000,0.16000,-0.16000,0,600,23,-23,0,K1 V,5075.00,75.00,-75.00,0,0.89,0.05,-0.05,0,3.000,,,1,338.3860000,3.9865000,-3.9865000,14.6645000,0.0003290,-0.0003290
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.99432500,0.00002100,-0.00002100,0,1.430,0.030,-0.030,0,832.71460,187.51970,-197.05460,0,2.62000,0.59000,-0.62000,0,,,,,,6440.00,120.00,-120.00,0,1.27,0.05,-0.05,0,2.000,1.000,-1.000,0,655.0370000,24.9470000,-23.2090000,12.8410000,0.0003360,-0.0003360
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.99433000,0.00001100,-0.00001100,0,1.430,0.030,-0.030,0,740.51000,108.06000,-108.06000,0,2.33000,0.34000,-0.34000,0,1657,55,-55,0,F6 V,6440.00,120.00,-120.00,0,1.27,0.05,-0.05,0,2.000,1.000,-1.000,0,655.0370000,24.9470000,-23.2090000,12.8410000,0.0003360,-0.0003360
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.99433000,0.00001100,-0.00001100,0,1.426,0.058,-0.058,0,743.72220,123.95370,-123.95370,0,2.34000,0.39000,-0.39000,0,1735,34,-34,0,,6440.00,120.00,-120.00,0,1.26,0.14,-0.14,0,2.000,0.900,-2.100,0,655.0370000,24.9470000,-23.2090000,12.8410000,0.0003360,-0.0003360
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.99432500,0.00002100,-0.00002100,0,1.390,0.033,-0.033,0,791.39670,85.81410,-85.81410,0,2.49000,0.27000,-0.27000,0,1715,36,-36,0,,,,,,1.23,0.03,-0.03,0,2.000,1.000,-1.000,0,655.0370000,24.9470000,-23.2090000,12.8410000,0.0003360,-0.0003360
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.82804200,0.00001300,-0.00001300,0,1.440,0.130,-0.130,0,291.43800,22.24700,-20.65800,0,0.91700,0.07000,-0.06500,0,1442,58,-58,0,,5675.00,80.00,-80.00,0,1.08,0.08,-0.07,0,6.300,3.100,-3.100,0,1126.3700000,55.7450000,-55.7450000,15.3453000,0.0007700,-0.0007700
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.82805268,0.00000065,-0.00000065,0,1.344,0.074,-0.071,0,277.46559,25.74423,-24.79074,0,0.87300,0.08100,-0.07800,0,1417,20,-20,0,,,,,,1.00,0.10,-0.10,0,6.170,3.690,-3.690,0,1126.3700000,55.7450000,-55.7450000,15.3453000,0.0007700,-0.0007700
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.82804200,0.00001300,-0.00001300,0,1.350,0.075,-0.075,0,281.91521,25.10857,-25.10857,0,0.88700,0.07900,-0.07900,0,1410,28,-28,0,,5675.00,80.00,-80.00,0,1.02,0.09,-0.09,0,5.800,3.800,-6.900,0,1126.3700000,55.7450000,-55.7450000,15.3453000,0.0007700,-0.0007700
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.82804200,0.00001300,-0.00001300,0,1.440,0.130,-0.130,0,290.81445,22.56593,-21.93027,0,0.91500,0.07100,-0.06900,0,,,,,,5675.00,80.00,-80.00,0,1.08,0.08,-0.07,0,6.300,3.100,-3.100,0,1126.3700000,55.7450000,-55.7450000,15.3453000,0.0007700,-0.0007700
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,Space,CoRoT,0,4.03519000,0.00003000,-0.00003000,0,1.252,0.076,-0.076,0,416.99296,30.51168,-30.51168,0,1.31200,0.09600,-0.09600,0,1432,39,-39,0,,5945.00,90.00,-90.00,0,1.09,0.09,-0.09,0,5.800,1.500,-6.300,0,1148.9300000,62.1200000,-56.1500000,14.9147000,0.0005000,-0.0005000
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,Space,CoRoT,0,4.03519000,0.00003000,-0.00003000,0,0.885,0.014,-0.014,0,415.70400,20.97600,-20.97600,0,1.30800,0.06600,-0.06600,0,1700,,,0,G0 V,5945.00,90.00,-90.00,0,1.09,0.02,-0.02,0,1.635,1.515,-1.515,0,1148.9300000,62.1200000,-56.1500000,14.9147000,0.0005000,-0.0005000
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,Space,CoRoT,0,4.03519000,0.00003000,-0.00003000,0,0.885,0.014,-0.014,0,423.03173,23.20159,-23.20159,0,1.33100,0.07300,-0.07300,0,,,,,,5945.00,90.00,-90.00,0,1.09,0.02,-0.02,0,1.600,1.500,-1.500,0,1148.9300000,62.1200000,-56.1500000,14.9147000,0.0005000,-0.0005000
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,Space,CoRoT,0,1.51214000,0.00013000,-0.00013000,0,1.018,0.079,-0.079,0,2437.75610,158.91500,-158.91500,0,7.67000,0.50000,-0.50000,0,1936,95,-95,0,,6035.00,100.00,-100.00,0,1.12,0.10,-0.10,0,3.700,2.600,-5.000,0,1744.6000000,173.0300000,-144.9000000,15.8116000,0.0007690,-0.0007690
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,Space,CoRoT,0,1.51214000,0.00013000,-0.00013000,0,1.090,0.070,-0.070,0,2415.40000,190.70000,-190.70000,0,7.60000,0.60000,-0.60000,0,1952,66,-66,0,F9 V,6035.00,100.00,-100.00,0,1.13,0.09,-0.09,0,4.200,3.800,-3.800,0,1744.6000000,173.0300000,-144.9000000,15.8116000,0.0007690,-0.0007690
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,Space,CoRoT,0,1.51214000,0.00013000,-0.00013000,0,1.090,0.070,-0.070,0,2358.29860,149.38010,-149.38010,0,7.42000,0.47000,-0.47000,0,,,,,,6040.00,100.00,-100.00,0,1.13,0.09,-0.09,0,4.200,3.800,-3.800,0,1744.6000000,173.0300000,-144.9000000,15.8116000,0.0007690,-0.0007690
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,Space,CoRoT,0,5.35227000,0.00020000,-0.00020000,0,1.170,0.160,-0.140,0,170.03200,27.01400,-26.37900,0,0.53500,0.08500,-0.08300,0,,,,,G5 V,5650.00,100.00,-100.00,0,1.10,0.08,-0.08,0,6.730,2.800,-2.800,0,732.4090000,35.3440000,-32.2820000,15.6507000,0.0009980,-0.0009980
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,Space,CoRoT,0,5.35227000,0.00020000,-0.00020000,0,1.170,0.140,-0.160,0,168.13207,31.14734,-30.51168,0,0.52900,0.09800,-0.09600,0,,,,,,5650.00,100.00,-100.00,0,1.10,0.08,-0.08,0,6.700,2.800,-2.800,0,732.4090000,35.3440000,-32.2820000,15.6507000,0.0009980,-0.0009980
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,Space,CoRoT,0,3.76810000,0.00030000,-0.00030000,0,1.007,0.345,-0.092,0,781.86180,82.63580,-76.27920,0,2.46000,0.26000,-0.24000,0,1610,210,-70,0,,5740.00,80.00,-80.00,0,1.04,0.07,-0.05,0,8.000,0.800,-3.500,0,1176.1200000,57.1700000,-52.1900000,15.4368000,0.0005240,-0.0005240
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,Space,CoRoT,0,3.76810000,0.00030000,-0.00030000,0,1.020,0.070,-0.070,0,765.97030,85.81410,-82.63580,0,2.41000,0.27000,-0.26000,0,,,,,,5740.00,80.00,-80.00,0,1.04,0.10,-0.10,0,10.700,1.000,-1.000,0,1176.1200000,57.1700000,-52.1900000,15.4368000,0.0005240,-0.0005240
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,Space,CoRoT,0,3.76810000,0.00030000,-0.00030000,0,1.020,0.070,-0.070,0,772.29000,95.34000,-95.34000,0,2.43000,0.30000,-0.30000,0,1626,31,-31,0,G2 V,5740.00,80.00,-80.00,0,1.04,0.10,-0.10,0,10.700,1.000,-1.000,0,1176.1200000,57.1700000,-52.1900000,15.4368000,0.0005240,-0.0005240
